id,lon,lat,class,employees,avgmonthsales
423518,-77.02061,-12.11191,Client,2,12000
423523,-77.0204106,-12.1124107,Competitor,5,58000
423530,-77.02155,-12.11112,Competitor,5,62000
423543,-77.02276,-12.11204,Client,5,39000
423554,-77.02451,-12.11267,Client,8,73500
423740,-77.02371,-12.10859,Client,4,48000
423750,-77.02318,-12.11123,Client,2,35000
423757,-77.02336,-12.10962,Client,3,48000
423816,-77.02227,-12.11231,Competitor,6,69000
425262,-77.02254,-12.11221,Client,8,71100
427597,-77.02207,-12.11221,Client,2,31000
427663,-77.02041,-12.10895,Client,6,55000
546092,-77.01947,-12.10904,Client,4,44000
649580,-77.02081,-12.10782,Client,5,40000
649671,-77.02115,-12.11213,Competitor,8,87550
1158588,-77.02001,-12.10962,Competitor,2,40000
1216995,-77.02471,-12.1109,Client,5,46000
1347329,-77.01954,-12.11181,Client,3,42500
1366972,-77.02171,-12.10765,Competitor,6,70000
1377274,-77.02337,-12.11051,Client,3,44000
1383556,-77.02463,-12.11068,Client,1,24000
1391603,-77.02162,-12.11008,Competitor,3,51250
1427433,-77.02175,-12.10932,Client,7,60000
1439037,-77.01994,-12.11185,Client,7,63000
1469834,-77.02404,-12.10812,Competitor,4,67000
1472330,-77.01952,-12.11159,Client,3,37000
1472342,-77.02328,-12.11039,Client,9,83200
1472346,-77.02211,-12.10985,Client,1,28000
1472873,-77.02195,-12.10791,Competitor,4,65000
1472881,-77.02161,-12.10769,Client,5,50000
1499598,-77.02399,-12.10835,Client,3,34500
1503247,-77.02199,-12.11177,Client,8,71000
1504912,-77.0197,-12.10827,Client,9,85000
1505187,-77.01966,-12.10792,Competitor,1,33000
1510828,-77.02038,-12.10878,Client,1,12000
1515884,-77.0193,-12.11182,Client,3,40100
1526140,-77.02068,-12.11196,Client,1,20000
1526502,-77.02278,-12.10821,Competitor,9,110000
1531273,-77.01992,-12.10991,Client,4,39000
